pts,elo_i,opp_pts,elo_n
64.00,1197.5885,72,1193.8811
63.00,1199.9382,67,1195.104
67.00,1368.1692,63,1373.0034
91.00,1343.6949,84,1347.7479
84.00,1274.0464,91,1269.9934
61.00,1125.157,74,1111.4615
74.00,1193.8811,61,1207.5765
77.00,1402.2272,105,1393.8607
105.00,1507.9979,77,1516.3644
73.00,1393.8607,80,1387.9205
80.00,1380.6956,73,1386.6357
71.00,1200.0703,61,1212.3307
61.00,1347.7479,71,1335.4875
66.00,1195.104,63,1199.1213
63.00,1212.3307,66,1208.3134
79.00,1387.9205,83,1381.1733
83.00,1269.9934,79,1276.7406
59.00,1373.0034,55,1374.8636
55.00,1207.5765,59,1205.7163
79.00,1516.3644,69,1518.7253
69.00,1304.1222,79,1301.7612
66.00,1301.7612,71,1289.1487
71.00,1205.7163,66,1218.3289
72.00,1335.4875,76,1332.156
76.00,1386.6357,72,1389.9673
66.00,1374.8636,73,1369.4114
73.00,1381.1733,66,1386.6256
77.00,1289.1487,51,1304.9407
51.00,1332.156,77,1316.364
68.00,1369.4114,73,1365.1349
73.00,1389.9673,68,1394.2438
65.00,1518.7253,81,1491.3843
81.00,1386.6256,65,1413.9667
69.00,1413.9667,53,1438.0586
53.00,1491.3843,69,1467.2924
86.00,1316.364,74,1323.7344
74.00,1304.9407,86,1297.5703
51.00,1394.2438,73,1381.0083
73.00,1365.1349,51,1378.3704
75.00,1381.0083,59,1400.4183
59.00,1378.3704,75,1358.9603
67.00,1438.0586,55,1446.8588
55.00,1467.2924,67,1458.4922
93.00,1323.7344,71,1334.1049
71.00,1297.5703,93,1287.1998
69.00,1446.8588,76,1441.5352
76.00,1458.4922,69,1463.8158
67.00,1463.8158,55,1478.9536
55.00,1441.5352,67,1426.3973
70.00,1334.1049,82,1328.4071
82.00,1400.4183,70,1406.1161
66.00,1426.3973,61,1432.2572
61.00,1478.9536,66,1473.0938
72.00,1406.1161,53,1423.2423
53.00,1328.4071,72,1311.2809
84.00,1423.2423,71,1431.7393
71.00,1432.2572,84,1423.7603
85.00,1431.7393,74,1438.8226
74.00,1423.7603,85,1416.6769
72.00,1416.6769,75,1409.4009
75.00,1438.8226,72,1446.0986
73.00,1446.0986,74,1442.9448
74.00,1409.4009,73,1412.5547
80.00,1412.5547,83,1409.3076
83.00,1442.9448,80,1446.1919
63.00,1481.0703,55,1485.6085
55.00,1419,63,1414.4618
85.00,1414.4618,74,1418.4851
74.00,1289.9966,85,1285.9733
80.00,1433.2307,70,1439.0546
70.00,1395.4702,80,1389.6464
65.00,1485.6085,80,1470.8373
80.00,1359.7107,65,1374.4819
64.00,1333.8054,79,1328.9529
79.00,1460.8939,64,1465.7465
79.00,1465.7465,74,1470.8689
74.00,1285.9733,79,1280.8508
69.00,1470.8373,73,1462.2957
73.00,1280.8508,69,1289.3925
67.00,1418.4851,63,1427.8206
63.00,1439.0546,67,1429.7191
73.00,1374.4819,67,1379.9894
67.00,1389.6464,73,1384.1389
80.00,1470.8689,78,1474.9827
78.00,1328.9529,80,1324.8391
50.00,1289.3925,65,1275.6677
65.00,1384.1389,50,1397.8636
87.00,1379.9894,69,1397.8147
69.00,1324.8391,87,1307.0138
63.00,1397.8147,81,1378.5894
81.00,1429.7191,63,1448.9443
67.00,1474.9827,74,1469.0547
74.00,1462.2957,67,1468.2236
56.00,1378.5894,68,1372.4034
68.00,1427.8206,56,1434.0065
81.00,1448.9443,77,1453.5292
77.00,1468.2236,81,1463.6388
67.00,1275.6677,57,1298.5594
57.00,1469.0547,67,1446.163
73.00,1397.8636,67,1401.2179
67.00,1307.0138,73,1303.6595
73.00,1298.5594,89,1286.2784
89.00,1434.0065,73,1446.2875
72.00,1453.5292,75,1449.6821
75.00,1446.2875,72,1450.1345
62.00,1303.6595,65,1299.6395
65.00,1286.2784,62,1290.2985
83.00,1446.163,78,1453.8931
78.00,1372.4034,83,1364.6733
62.00,1463.6388,70,1455.7742
70.00,1401.2179,62,1409.0825
91.00,1364.6733,75,1380.0829
75.00,1290.2985,91,1274.8889
63.00,1380.0829,65,1371.2363
65.00,1274.8889,63,1283.7355
83.00,1455.7742,64,1464.2799
64.00,1409.0825,83,1400.5768
59.00,1453.8931,81,1423.4999
81.00,1371.2363,59,1401.6295
61.00,1299.6395,76,1288.5664
76.00,1450.1345,61,1461.2076
92.00,1283.7355,83,1296.5094
83.00,1464.2799,92,1451.506
75.00,1449.6821,71,1453.4275
71.00,1423.4999,75,1419.7545
67.00,1400.5768,71,1393.3099
71.00,1461.2076,67,1468.4745
78.00,1451.506,85,1434.0424
85.00,1288.5664,78,1306.03
70.00,1434.0424,62,1445.4846
